"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过相关联的会员姓和名组合查询","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过相关联的会员姓和名组合查询","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","缺少AKey","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","错误的Akey","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过邮箱地址查询","测试 members 请求正常的用例"
"passed","Sun Jun 07 16:28:36 CST 2020","Sun Jun 07 16:28:37 CST 2020","467","testcases","test_session","TestSession","","","缺少AKey","测试 deleteSessoin 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员姓查询","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员名查询过期的会员","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_auth","TestAuth","","","成功获取Token","测试 Auth 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","过期的sessionId","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","缺少sessionId","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","错误的companyName","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","缺少sessionId","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","错误的sessionId","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过手机号查询过期的会员","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员手机号查询","测试 members 请求异常的用例"
"passed","Sun Jun 07 16:28:31 CST 2020","Sun Jun 07 16:28:32 CST 2020","469","testcases","test_session","TestSession","","","缺少AKey","测试 getSession 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员卡号查询","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","缺少sessionId","测试 members 请求异常的用例"
"passed","Sun Jun 07 16:28:34 CST 2020","Sun Jun 07 16:28:35 CST 2020","503","testcases","test_session","TestSession","","","错误的sessionId","测试 deleteSessoin 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","缺少companyName","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员名查询过期的会员","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","错误的Akey","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_auth","TestAuth","","","不传User id","测试 Auth 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过邮箱地址查询","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_auth","TestAuth","","","不存在的User id","测试 Auth 请求正常的用例"
"failed","Sun Jun 07 16:28:34 CST 2020","Sun Jun 07 16:28:34 CST 2020","479","testcases","test_session","TestSession","","","缺少sessionId","测试 deleteSessoin 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_auth","TestAuth","","","错误的Akey","测试 Auth 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","错误的companyName","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员名查询","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","查询不存在的会员名","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员姓查询过期的会员","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过不相关的会员姓和名组合查询","测试 members 请求异常的用例"
"passed","Sun Jun 07 16:28:35 CST 2020","Sun Jun 07 16:28:36 CST 2020","502","testcases","test_session","TestSession","","","错误的AKey","测试 deleteSessoin 请求异常的用例"
"passed","Sun Jun 07 16:28:31 CST 2020","Sun Jun 07 16:28:31 CST 2020","467","testcases","test_session","TestSession","","","错误的AKey","测试 getSession 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员卡号查询过期的会员","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","查询不存在的会员卡号","测试 members 请求异常的用例"
"passed","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:30 CST 2020","940","testcases","test_session","TestSession","","","成功获取sessionId，参数含propertyCode","测试 getSession 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","正常获取会员信息","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","错误的sessionId","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","查询不存在的会员姓","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员名查询","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","查询不存在的会员卡号","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员卡号查询","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","查询错误的邮箱地址","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过手机号查询过期的会员","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","查询不存在的邮箱地址","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过邮箱地址查询过期的会员","测试 members 请求正常的用例"
"passed","Sun Jun 07 16:28:30 CST 2020","Sun Jun 07 16:28:31 CST 2020","530","testcases","test_session","TestSession","","","成功获取sessionId，参数不含propertyCode","测试 getSession 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","缺少AKey","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","查询不存在的会员名","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","错误的sessionId","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过邮箱地址查询过期的会员","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","查询错误的手机号","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","错误的Akey","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员手机号查询","测试 members 请求正常的用例"
