"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jun 06 09:55:26 CST 2020","Sat Jun 06 09:55:26 CST 2020","9","","testcases","","testcases","test_auth.TestAuth.test_get_auth_normal[test_data2]","test_auth.TestAuth.test_get_auth_normal[test_data2]","测试 Auth 请求正常的用例"
"skipped","Sat Jun 06 09:55:27 CST 2020","Sat Jun 06 09:55:27 CST 2020","10","","testcases","","testcases","test_auth.TestAuth.test_get_auth_abnormal[test_data3]","test_auth.TestAuth.test_get_auth_abnormal[test_data3]","测试 Auth 请求异常的用例"
"skipped","Sat Jun 06 09:56:07 CST 2020","Sat Jun 06 09:56:07 CST 2020","10","","testcases","","testcases","test_session.TestSession.test_delete_session_abnormal[test_data1]","test_session.TestSession.test_delete_session_abnormal[test_data1]","测试 deleteSessoin 请求异常的用例"
"skipped","Sat Jun 06 09:56:07 CST 2020","Sat Jun 06 09:56:07 CST 2020","10","","testcases","","testcases","test_session.TestSession.test_delete_session_normal[test_data2]","test_session.TestSession.test_delete_session_normal[test_data2]","测试 deleteSession 请求正常的用例"
"passed","Sat Jun 06 09:56:06 CST 2020","Sat Jun 06 09:56:06 CST 2020","11","","testcases","","testcases","test_session.TestSession.test_get_session_normal[test_data8]","test_session.TestSession.test_get_session_normal[test_data8]","测试 getSession 请求正常的用例"
"skipped","Sat Jun 06 09:55:26 CST 2020","Sat Jun 06 09:55:26 CST 2020","11","","testcases","","testcases","test_auth.TestAuth.test_get_auth_normal[test_data6]","test_auth.TestAuth.test_get_auth_normal[test_data6]","测试 Auth 请求正常的用例"
"skipped","Sat Jun 06 09:56:07 CST 2020","Sat Jun 06 09:56:07 CST 2020","11","","testcases","","testcases","test_session.TestSession.test_delete_session_abnormal[test_data0]","test_session.TestSession.test_delete_session_abnormal[test_data0]","测试 deleteSessoin 请求异常的用例"
"skipped","Sat Jun 06 09:56:07 CST 2020","Sat Jun 06 09:56:07 CST 2020","11","","testcases","","testcases","test_session.TestSession.test_delete_session_abnormal[test_data7]","test_session.TestSession.test_delete_session_abnormal[test_data7]","测试 deleteSessoin 请求异常的用例"
"skipped","Sat Jun 06 09:55:26 CST 2020","Sat Jun 06 09:55:26 CST 2020","10","","testcases","","testcases","test_auth.TestAuth.test_get_auth_normal[test_data5]","test_auth.TestAuth.test_get_auth_normal[test_data5]","测试 Auth 请求正常的用例"
"skipped","Sat Jun 06 09:56:06 CST 2020","Sat Jun 06 09:56:06 CST 2020","11","","testcases","","testcases","test_session.TestSession.test_get_session_abnormal[test_data4]","test_session.TestSession.test_get_session_abnormal[test_data4]","测试 getSession 请求异常的用例"
"skipped","Sat Jun 06 09:56:06 CST 2020","Sat Jun 06 09:56:06 CST 2020","9","","testcases","","testcases","test_session.TestSession.test_delete_session_normal[test_data0]","test_session.TestSession.test_delete_session_normal[test_data0]","测试 deleteSession 请求正常的用例"
"skipped","Sat Jun 06 09:56:07 CST 2020","Sat Jun 06 09:56:07 CST 2020","10","","testcases","","testcases","test_session.TestSession.test_delete_session_normal[test_data4]","test_session.TestSession.test_delete_session_normal[test_data4]","测试 deleteSession 请求正常的用例"
"skipped","Sat Jun 06 09:55:26 CST 2020","Sat Jun 06 09:55:26 CST 2020","10","","testcases","","testcases","test_auth.TestAuth.test_get_auth_normal[test_data4]","test_auth.TestAuth.test_get_auth_normal[test_data4]","测试 Auth 请求正常的用例"
"skipped","Sat Jun 06 09:55:27 CST 2020","Sat Jun 06 09:55:27 CST 2020","10","","testcases","","testcases","test_auth.TestAuth.test_get_auth_abnormal[test_data7]","test_auth.TestAuth.test_get_auth_abnormal[test_data7]","测试 Auth 请求异常的用例"
"passed","Sat Jun 06 09:56:06 CST 2020","Sat Jun 06 09:56:06 CST 2020","11","","testcases","","testcases","test_session.TestSession.test_get_session_normal[test_data5]","test_session.TestSession.test_get_session_normal[test_data5]","测试 getSession 请求正常的用例"
"skipped","Sat Jun 06 09:56:06 CST 2020","Sat Jun 06 09:56:06 CST 2020","10","","testcases","","testcases","test_session.TestSession.test_get_session_abnormal[test_data2]","test_session.TestSession.test_get_session_abnormal[test_data2]","测试 getSession 请求异常的用例"
"skipped","Sat Jun 06 09:55:27 CST 2020","Sat Jun 06 09:55:27 CST 2020","10","","testcases","","testcases","test_auth.TestAuth.test_get_auth_abnormal[test_data4]","test_auth.TestAuth.test_get_auth_abnormal[test_data4]","测试 Auth 请求异常的用例"
"skipped","Sat Jun 06 09:56:06 CST 2020","Sat Jun 06 09:56:06 CST 2020","9","","testcases","","testcases","test_session.TestSession.test_get_session_abnormal[test_data6]","test_session.TestSession.test_get_session_abnormal[test_data6]","测试 getSession 请求异常的用例"
"skipped","Sat Jun 06 09:55:27 CST 2020","Sat Jun 06 09:55:27 CST 2020","10","","testcases","","testcases","test_auth.TestAuth.test_get_auth_abnormal[test_data1]","test_auth.TestAuth.test_get_auth_abnormal[test_data1]","测试 Auth 请求异常的用例"
"skipped","Sat Jun 06 09:55:26 CST 2020","Sat Jun 06 09:55:26 CST 2020","12","","testcases","","testcases","test_auth.TestAuth.test_get_auth_normal[test_data0]","test_auth.TestAuth.test_get_auth_normal[test_data0]","测试 Auth 请求正常的用例"
"skipped","Sat Jun 06 09:56:06 CST 2020","Sat Jun 06 09:56:06 CST 2020","10","","testcases","","testcases","test_session.TestSession.test_get_session_abnormal[test_data8]","test_session.TestSession.test_get_session_abnormal[test_data8]","测试 getSession 请求异常的用例"
"passed","Sat Jun 06 09:56:05 CST 2020","Sat Jun 06 09:56:06 CST 2020","461","","testcases","","testcases","test_session.TestSession.test_get_session_normal[test_data1]","test_session.TestSession.test_get_session_normal[test_data1]","测试 getSession 请求正常的用例"
"passed","Sat Jun 06 09:56:06 CST 2020","Sat Jun 06 09:56:06 CST 2020","11","","testcases","","testcases","test_session.TestSession.test_get_session_normal[test_data2]","test_session.TestSession.test_get_session_normal[test_data2]","测试 getSession 请求正常的用例"
"skipped","Sat Jun 06 09:56:06 CST 2020","Sat Jun 06 09:56:06 CST 2020","10","","testcases","","testcases","test_session.TestSession.test_get_session_abnormal[test_data1]","test_session.TestSession.test_get_session_abnormal[test_data1]","测试 getSession 请求异常的用例"
"skipped","Sat Jun 06 09:56:07 CST 2020","Sat Jun 06 09:56:07 CST 2020","11","","testcases","","testcases","test_session.TestSession.test_delete_session_normal[test_data8]","test_session.TestSession.test_delete_session_normal[test_data8]","测试 deleteSession 请求正常的用例"
"passed","Sat Jun 06 09:56:06 CST 2020","Sat Jun 06 09:56:06 CST 2020","11","","testcases","","testcases","test_session.TestSession.test_get_session_normal[test_data6]","test_session.TestSession.test_get_session_normal[test_data6]","测试 getSession 请求正常的用例"
"skipped","Sat Jun 06 09:55:26 CST 2020","Sat Jun 06 09:55:26 CST 2020","10","","testcases","","testcases","test_auth.TestAuth.test_get_auth_normal[test_data7]","test_auth.TestAuth.test_get_auth_normal[test_data7]","测试 Auth 请求正常的用例"
"skipped","Sat Jun 06 09:55:26 CST 2020","Sat Jun 06 09:55:26 CST 2020","10","","testcases","","testcases","test_auth.TestAuth.test_get_auth_abnormal[test_data0]","test_auth.TestAuth.test_get_auth_abnormal[test_data0]","测试 Auth 请求异常的用例"
"skipped","Sat Jun 06 09:56:07 CST 2020","Sat Jun 06 09:56:07 CST 2020","10","","testcases","","testcases","test_session.TestSession.test_delete_session_abnormal[test_data5]","test_session.TestSession.test_delete_session_abnormal[test_data5]","测试 deleteSessoin 请求异常的用例"
"skipped","Sat Jun 06 09:56:07 CST 2020","Sat Jun 06 09:56:07 CST 2020","11","","testcases","","testcases","test_session.TestSession.test_delete_session_abnormal[test_data8]","test_session.TestSession.test_delete_session_abnormal[test_data8]","测试 deleteSessoin 请求异常的用例"
"skipped","Sat Jun 06 09:56:06 CST 2020","Sat Jun 06 09:56:06 CST 2020","10","","testcases","","testcases","test_session.TestSession.test_get_session_abnormal[test_data5]","test_session.TestSession.test_get_session_abnormal[test_data5]","测试 getSession 请求异常的用例"
"skipped","Sat Jun 06 09:56:07 CST 2020","Sat Jun 06 09:56:07 CST 2020","11","","testcases","","testcases","test_session.TestSession.test_delete_session_abnormal[test_data2]","test_session.TestSession.test_delete_session_abnormal[test_data2]","测试 deleteSessoin 请求异常的用例"
"skipped","Sat Jun 06 09:55:26 CST 2020","Sat Jun 06 09:55:26 CST 2020","10","","testcases","","testcases","test_auth.TestAuth.test_get_auth_normal[test_data3]","test_auth.TestAuth.test_get_auth_normal[test_data3]","测试 Auth 请求正常的用例"
"skipped","Sat Jun 06 09:56:07 CST 2020","Sat Jun 06 09:56:07 CST 2020","11","","testcases","","testcases","test_session.TestSession.test_delete_session_normal[test_data6]","test_session.TestSession.test_delete_session_normal[test_data6]","测试 deleteSession 请求正常的用例"
"skipped","Sat Jun 06 09:56:06 CST 2020","Sat Jun 06 09:56:06 CST 2020","11","","testcases","","testcases","test_session.TestSession.test_get_session_abnormal[test_data0]","test_session.TestSession.test_get_session_abnormal[test_data0]","测试 getSession 请求异常的用例"
"skipped","Sat Jun 06 09:55:27 CST 2020","Sat Jun 06 09:55:27 CST 2020","10","","testcases","","testcases","test_members.TestMembers.test_members_normal[test_data0]","test_members.TestMembers.test_members_normal[test_data0]","测试 members 请求正常的用例"
"passed","Sat Jun 06 09:56:06 CST 2020","Sat Jun 06 09:56:06 CST 2020","11","","testcases","","testcases","test_session.TestSession.test_get_session_normal[test_data3]","test_session.TestSession.test_get_session_normal[test_data3]","测试 getSession 请求正常的用例"
"skipped","Sat Jun 06 09:55:27 CST 2020","Sat Jun 06 09:55:27 CST 2020","11","","testcases","","testcases","test_auth.TestAuth.test_get_auth_abnormal[test_data2]","test_auth.TestAuth.test_get_auth_abnormal[test_data2]","测试 Auth 请求异常的用例"
"skipped","Sat Jun 06 09:56:07 CST 2020","Sat Jun 06 09:56:07 CST 2020","10","","testcases","","testcases","test_session.TestSession.test_delete_session_normal[test_data7]","test_session.TestSession.test_delete_session_normal[test_data7]","测试 deleteSession 请求正常的用例"
